epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7864.98,0.43633,0.29885,0.87421,0.99499,1,0.995,0.90098,0.46928,0.27614,0.8495,0.0011486,0.0011486,0.0011486
45,8191.55,0.41022,0.28308,0.87928,0.99486,1,0.995,0.90631,0.51845,0.24808,0.85554,0.0011288,0.0011288,0.0011288
46,8601.66,0.43273,0.29265,0.87422,0.99482,1,0.995,0.89669,0.49648,0.25105,0.84379,0.001109,0.001109,0.001109
47,8927.45,0.43265,0.29577,0.87548,0.99489,1,0.995,0.94252,0.41194,0.22789,0.8401,0.0010892,0.0010892,0.0010892
48,9249.17,0.45051,0.30412,0.88865,0.99497,1,0.995,0.93431,0.43281,0.23185,0.83038,0.0010694,0.0010694,0.0010694
49,9624.23,0.43623,0.29774,0.89571,0.99464,1,0.995,0.92398,0.45407,0.2329,0.84361,0.0010496,0.0010496,0.0010496
50,10078,0.41508,0.27767,0.88022,0.9951,1,0.995,0.92574,0.47283,0.22737,0.84565,0.0010298,0.0010298,0.0010298
51,10642.5,0.4364,0.2955,0.88172,0.99498,1,0.995,0.95932,0.43493,0.20925,0.83218,0.00101,0.00101,0.00101
52,11219.8,0.41196,0.28003,0.87189,0.99501,1,0.995,0.91773,0.41412,0.22216,0.83187,0.0009902,0.0009902,0.0009902
53,11634.5,0.43672,0.29315,0.8654,0.99502,1,0.995,0.92264,0.43117,0.2342,0.83034,0.0009704,0.0009704,0.0009704
54,11775.5,0.40776,0.28133,0.86425,0.99511,1,0.995,0.91387,0.49919,0.22475,0.86741,0.0009506,0.0009506,0.0009506
55,11879.8,0.42952,0.27914,0.87364,0.99501,1,0.995,0.92939,0.40449,0.21472,0.83277,0.0009308,0.0009308,0.0009308
56,12012.3,0.40914,0.28303,0.8734,0.99498,1,0.995,0.91524,0.41444,0.21968,0.82789,0.000911,0.000911,0.000911
57,12173.3,0.38995,0.26574,0.86682,0.99506,1,0.995,0.90357,0.46756,0.23417,0.85135,0.0008912,0.0008912,0.0008912
58,12386.8,0.41144,0.27354,0.87235,0.99507,1,0.995,0.89569,0.5059,0.23721,0.85778,0.0008714,0.0008714,0.0008714
59,12583.5,0.39267,0.26614,0.86813,0.99499,1,0.995,0.90794,0.51045,0.26119,0.85279,0.0008516,0.0008516,0.0008516
60,12753.1,0.39267,0.27192,0.86405,0.99519,1,0.995,0.91339,0.43072,0.21933,0.84258,0.0008318,0.0008318,0.0008318
61,12899.8,0.36147,0.25788,0.85189,0.99487,1,0.995,0.9174,0.38793,0.20708,0.82806,0.000812,0.000812,0.000812
62,13054.9,0.36191,0.24946,0.86016,0.99504,1,0.995,0.95132,0.40409,0.20927,0.83492,0.0007922,0.0007922,0.0007922
63,13260.9,0.37549,0.25901,0.85042,0.99506,1,0.995,0.92659,0.41649,0.22382,0.84591,0.0007724,0.0007724,0.0007724
64,13460.6,0.3576,0.24972,0.84821,0.99503,1,0.995,0.90975,0.49144,0.22631,0.84672,0.0007526,0.0007526,0.0007526
65,13673.4,0.36022,0.24276,0.85063,0.995,1,0.995,0.92988,0.46531,0.21369,0.84048,0.0007328,0.0007328,0.0007328
66,13852.5,0.37341,0.25458,0.87536,0.99489,1,0.995,0.93027,0.43168,0.20629,0.83765,0.000713,0.000713,0.000713
67,14029.2,0.36217,0.24522,0.85367,0.99503,1,0.995,0.93737,0.4017,0.19293,0.8353,0.0006932,0.0006932,0.0006932
68,14182.1,0.3949,0.2628,0.86314,1,1,0.995,0.94558,0.41397,0.20016,0.84234,0.0006734,0.0006734,0.0006734
69,14334.9,0.35621,0.24668,0.85293,0.99501,1,0.995,0.93158,0.47625,0.19943,0.85201,0.0006536,0.0006536,0.0006536
70,14522.2,0.36436,0.24585,0.85368,0.99491,1,0.995,0.89236,0.46325,0.19968,0.83719,0.0006338,0.0006338,0.0006338
71,14649.4,0.35919,0.25063,0.86537,0.99503,1,0.995,0.92564,0.43274,0.21089,0.83439,0.000614,0.000614,0.000614
